name,address,manager,phone,fax,street,city,zip,province,id,address_original,llaccuracy,lat,lng,zipmatch,ziplat,ziplng,fsa
POCKETPILLS,"233 - 18525 53 Ave
Surrey, BC  V3S 7A4, 233 - 18525 53 Ave
Surrey, BC  V3S 7A4, BC  V3S 7A4, Canada",Rajdev Gulia,(604) 372-3754,(604) 372-3756,"233 - 18525 53 Ave
Surrey, BC  V3S 7A4","233 - 18525 53 Ave
Surrey, BC  V3S 7A4",V3S 7A4,BC,730,"233 - 18525 53 Ave
Surrey, BC  V3S 7A4",0.5,49.098831,-122.884104,false,49.117611016862,-122.754853365374,V3S
POINT GREY PHARMACY,"4520 West 10th Ave., Vancouver, BC  V6R 2J1, Canada",Safouh El Rayes,(604) 224-1377,(604) 225-0019,4520 West 10th Ave.,Vancouver,V6R 2J1,BC,731,"4520 West 10th Ave.
Vancouver, BC  V6R 2J1
CANADA",0.9,49.263548,-123.20988,true,49.2663229578504,-123.197873679399,V6R
POWELL RIVER PHARMACY,"4280 Joyce Ave, Powell River, BC  V8A 3A2, Canada",Alaa Amara,(604) 489-9272,(604) 489-9273,4280 Joyce Ave,Powell River,V8A 3A2,BC,732,"4280 Joyce Ave
Powell River, BC  V8A 3A2
CANADA",0.5,49.828375,-124.520571,true,49.8983378321946,-124.303569645468,V8A
PRATT'S COMPOUNDING PHARMACY INC.,"#100 - 321 Nicola St., Kamloops, BC  V2C 6G6, Canada",Christopher Cameron,(250) 374-7226,(250) 851-0776,#100 - 321 Nicola St.,Kamloops,V2C 6G6,BC,733,"#100 - 321 Nicola St.
Kamloops, BC  V2C 6G6
CANADA",0.9,50.672106,-120.333936,true,50.5376609383254,-120.011225685599,V2C
PRESCRIPTION HEALTH STUDIO,"560 West Ave, Kelowna, BC  V1Y 4Z4, Canada",Esther Simmons-Foot,(778) 478-1303,(778) 478-1756,560 West Ave,Kelowna,V1Y 4Z4,BC,734,"560 West Ave
Kelowna, BC  V1Y 4Z4
CANADA",0.5,49.864813,-119.491228,true,49.8920717348395,-119.484658444334,V1Y
PRICESMART FOODS PHARMACY #2274 - RICHMOND,"8200 Ackroyd Road, Richmond, BC  V6X 1B5, Canada",Ada Ho,(604) 278-8408,(604) 278-7227,8200 Ackroyd Road,Richmond,V6X 1B5,BC,735,"8200 Ackroyd Road
Richmond, BC  V6X 1B5
CANADA",0.5,49.172018,-123.136467,true,49.1863745873366,-123.111677711377,V6X
PRICESMART FOODS PHARMACY #2281 - STATION SQUARE,"110 - 4650 Kingsway, Burnaby, BC  V5H 4L9, Canada",Ada Lui,(604) 433-3760,(604) 433-7109,110 - 4650 Kingsway,Burnaby,V5H 4L9,BC,736,"110 - 4650 Kingsway
Burnaby, BC  V5H 4L9
CANADA",0.5,49.213447,-122.937887,false,49.2287120398404,-122.996471986297,V5H
PRIMECARE PHARMACY,"#101 - 7093 King George Blvd, Surrey, BC  V3W 5A2, Canada",Amrik Singh,(778) 654-0013,(778) 654-0039,#101 - 7093 King George Blvd,Surrey,V3W 5A2,BC,737,"#101 - 7093 King George Blvd
Surrey, BC  V3W 5A2
CANADA",0.5,49.152089,-122.841664,true,49.1410042095061,-122.856837478998,V3W
PRINCETON PHARMACY,"Box 1828
#3 - 136 Tapton Ave, Princeton, BC  V0X 1W0, Canada",Robert New,(250) 295-7670,(250) 295-7650,"Box 1828
#3 - 136 Tapton Ave",Princeton,V0X 1W0,BC,738,"Box 1828
#3 - 136 Tapton Ave
Princeton, BC  V0X 1W0
CANADA",1.0,49.45802,-120.51076,true,49.3732582698044,-120.678468279017,V0X
PRO-HEALTH PHARMACY,"8999 School St, Chilliwack, BC  V2P 4L5, Canada",Christian Mitchell,(604) 845-8084,(604) 392-3348,8999 School St,Chilliwack,V2P 4L5,BC,739,"8999 School St
Chilliwack, BC  V2P 4L5
CANADA",0.5,49.164099,-121.960605,true,49.1806404435609,-121.900229531001,V2P
PROMONTORY PHARMACY,"105 - 5615 Teskey Way, Chilliwack, BC  V2R 0K5, Canada",Silvia Poelstra Porra,(604) 705-3800,(604) 705-3801,105 - 5615 Teskey Way,Chilliwack,V2R 0K5,BC,740,"105 - 5615 Teskey Way
Chilliwack, BC  V2R 0K5
CANADA",0.1,49.103822,-121.93518,true,49.0771170456505,-121.991756609719,V2R
PROSPER PHARMACY NO. 3,"3 - 12818 72 Ave, Surrey, BC  V3W 2M9, Canada",Anant Singh,(604) 543-6677,(604) 543-4433,3 - 12818 72 Ave,Surrey,V3W 2M9,BC,741,"3 - 12818 72 Ave
Surrey, BC  V3W 2M9
CANADA",0.4,49.133737,-122.862311,true,49.1410042095061,-122.856837478998,V3W
PURE INTEGRATIVE PHARMACY # 1,"111 - 15388 24 Ave, Surrey, BC  V4A 2J2, Canada",Halyna Hritzkiv,(604) 542-7780,(604) 542-3263,111 - 15388 24 Ave,Surrey,V4A 2J2,BC,742,"111 - 15388 24 Ave
Surrey, BC  V4A 2J2
CANADA",0.5,49.045534,-122.782769,false,49.0385145601477,-122.83110874713,V4A
PURE INTEGRATIVE PHARMACY # 4,"3533 4th Ave W, Vancouver, BC  V6R 1N9, Canada",Ying Wang,(604) 733-7211,(604) 733-7215,3533 4th Ave W,Vancouver,V6R 1N9,BC,743,"3533 4th Ave W
Vancouver, BC  V6R 1N9
CANADA",0.4,49.26911,-123.214999,false,49.2663229578504,-123.197873679399,V6R
PURE INTEGRATIVE PHARMACY # 5,"2685 Broadway W, Vancouver, BC  V6K 2G2, Canada",Helen Vlahos,(604) 568-8844,(604) 568-8944,2685 Broadway W,Vancouver,V6K 2G2,BC,744,"2685 Broadway W
Vancouver, BC  V6K 2G2
CANADA",0.4,49.262639,-123.096001,false,49.265317263409,-123.165649863759,V6K
PURE INTEGRATIVE PHARMACY # 9,"238 Robson St, Vancouver, BC  V6B 6A1, Canada",Johnny Yip,(604) 681-8190,(604) 681-8195,238 Robson St,Vancouver,V6B 6A1,BC,745,"238 Robson St
Vancouver, BC  V6B 6A1
CANADA",0.5,49.278841,-123.115953,true,49.2803210570045,-123.113580759168,V6B
PURE INTEGRATIVE PHARMACY #10,"3228 Dunbar Street, Vancouver, BC  V6S 2B7, Canada",Khalid Rahimi,(604) 732-3010,(604) 732-3011,3228 Dunbar Street,Vancouver,V6S 2B7,BC,746,"3228 Dunbar Street
Vancouver, BC  V6S2B7
CANADA",0.5,49.264797,-123.183769,false,49.2508143510254,-123.215501310984,V6S
PURE INTEGRATIVE PHARMACY #17,"Hollyburn Plaza
#117 - 1760 Marine Dr, West Vancouver, BC  V7V 1J4, Canada",Petra Walter,(604) 281-3393,(604) 281-3392,"Hollyburn Plaza
#117 - 1760 Marine Dr",West Vancouver,V7V 1J4,BC,747,"Hollyburn Plaza
#117 - 1760 Marine Dr
West Vancouver, BC  V7V 1J4
CANADA",1.0,49.36672,-123.16652,false,49.3397464394974,-123.192793552349,V7V
PURE INTEGRATIVE PHARMACY #18,"3750 Oak St, Vancouver, BC  V6H 2M3, Canada",Milosz Makarewicz,(604) 731-8535,(604) 731-8534,3750 Oak St,Vancouver,V6H 2M3,BC,748,"3750 Oak St
Vancouver, BC  V6H 2M3
CANADA",0.5,49.227254,-123.128281,false,49.2560324587572,-123.132777904483,V6H
PURE INTEGRATIVE PHARMACY #19,"103 - 3053 Edgemont Blvd, North Vancouver, BC  V7R 2N5, Canada",Robyn Seipp,(604) 770-3501,(604) 770-3503,103 - 3053 Edgemont Blvd,North Vancouver,V7R 2N5,BC,749,"103 - 3053 Edgemont Blvd
North Vancouver, BC  V7R 2N5
CANADA",0.5,49.330058,-123.094079,false,49.374416525153,-123.097541300827,V7R
PURE INTEGRATIVE PHARMACY #20,"105A - 7635 North Fraser Way, Burnaby, BC  V5J 0B8, Canada",Peggy Pruwitan,(604) 565-7873,(604) 428-3426,105A - 7635 North Fraser Way,Burnaby,V5J 0B8,BC,750,"105A - 7635 North Fraser Way
Burnaby, BC  V5J 0B8
CANADA",0.33,49.26636,-122.95263,false,49.203104365998,-122.992325673539,V5J
PURE INTEGRATIVE PHARMACY #21,"#101 - 301 Columbia St E, New Westminster, BC  V3L 3W5, Canada",Bob Mehr-Rahimi,(604) 553-7145,(604) 553-7146,#101 - 301 Columbia St E,New Westminster,V3L 3W5,BC,751,"#101 - 301 Columbia St E
New Westminster, BC  V3L 3W5
CANADA",0.4,49.202124,-122.909873,false,49.2211306947569,-122.898883878006,V3L
PURE INTEGRATIVE PHARMACY #23,"210 - 2425 Hemlock St, Vancouver, BC  V6H 4E1, Canada",Rebecca San,(604) 559-9200,(604) 559-9201,210 - 2425 Hemlock St,Vancouver,V6H 4E1,BC,752,"210 - 2425 Hemlock St
Vancouver, BC  V6H 4E1
CANADA",0.5,49.266898,-123.136099,true,49.2560324587572,-123.132777904483,V6H
PURE INTEGRATIVE PHARMACY #24,"4444 10th Ave W, Vancouver, BC  V6R 2H9, Canada",Tarlan Mazarei,(604) 563-4888,(604) 563-4810,4444 10th Ave W,Vancouver,V6R 2H9,BC,753,"4444 10th Ave W
Vancouver, BC  V6R 2H9
CANADA",0.4,49.263243,-123.170153,false,49.2663229578504,-123.197873679399,V6R
PURE INTEGRATIVE PHARMACY #25,"#102 - 23242 Mavis Ave, Fort Langley, BC  V1M 2R4, Canada",Lindsey Moncey,(604) 371-1828,(604) 371-2066,#102 - 23242 Mavis Ave,Fort Langley,V1M 2R4,BC,754,"#102 - 23242 Mavis Ave
Fort Langley, BC  V1M 2R4
CANADA",0.9,49.170261,-122.578602,true,49.166916594361,-122.579859195355,V1M
PURE INTEGRATIVE PHARMACY #26,"104 - 382 Lerwick Rd, Courtenay, BC  V9N 9E5, Canada",Kimberley Kallio,(250) 871-7900,(250) 871-7901,104 - 382 Lerwick Rd,Courtenay,V9N 9E5,BC,755,"104 - 382 Lerwick Rd
Courtenay, BC  V9N 9E5
CANADA",0.5,49.710357,-124.965591,true,49.5811802404716,-125.098398473739,V9N
PURE INTEGRATIVE PHARMACY #27,"1405 Bellevue Ave, West Vancouver, BC  V7T 1C3, Canada",Maral Hajigholamreza,(604) 281-3784,(604) 281-3785,1405 Bellevue Ave,West Vancouver,V7T 1C3,BC,756,"1405 Bellevue Ave
West Vancouver, BC  V7T 1C3
CANADA",0.5,49.330498,-123.172648,false,49.3311374603051,-123.1402706122,V7T
PURE INTEGRATIVE PHARMACY #28,"Unit 160 - 6111 River Rd, Richmond, BC  V7C 0A2, Canada",Nicolas Chau,(604) 244-2050,(604) 244-2059,Unit 160 - 6111 River Rd,Richmond,V7C 0A2,BC,757,"Unit 160 - 6111 River Rd
Richmond, BC  V7C 0A2
CANADA",1.0,49.17003,-123.13683,false,49.1626286600974,-123.172127771816,V7C
QUADRA MAPLE PHARMACY,"Quadra Centre
108 - 3960 Quadra St, Victoria, BC  V8X 4A3, Canada",Ahmed Elkadry,(250) 881-8819,(250) 881-8803,"Quadra Centre
108 - 3960 Quadra St",Victoria,V8X 4A3,BC,758,"Quadra Centre
108 - 3960 Quadra St
Victoria, BC  V8X 4A3
CANADA",0.5,48.428514,-123.358915,false,48.4774800173166,-123.36608053282,V8X
QUADRA VILLAGE DRUG MART,"3 - 2631 Quadra St, Victoria, BC  V8T 4E3, Canada",Amanda Brus,(250) 383-1188,(250) 383-4563,3 - 2631 Quadra St,Victoria,V8T 4E3,BC,759,"3 - 2631 Quadra St
Victoria, BC  V8T 4E3
CANADA",0.9,48.43839,-123.358144,true,48.4400181576936,-123.357355323014,V8T
QUALICUM PHARMACY,"#2 - 219 West Fern Road, Qualicum Beach, BC  V9K 2M2, Canada",Samer Qasem,(250) 752-9911,(250) 752-5772,#2 - 219 West Fern Road,Qualicum Beach,V9K 2M2,BC,760,"#2 - 219 West Fern Road
Qualicum Beach, BC  V9K 2M2
CANADA",0.33,49.34783,-124.44231,true,49.3405423889341,-124.657183366735,V9K
QUEENS APOTHECARY,"2235 Kingsway, Vancouver, BC  V5N 2T6, Canada",Peter Hui,(778) 379-9933,(778) 379-9936,2235 Kingsway,Vancouver,V5N 2T6,BC,761,"2235 Kingsway
Vancouver, BC  V5N 2T6
CANADA",0.5,49.261974,-123.098669,false,49.2553846831631,-123.066013649186,V5N
QUEENSBOROUGH COMMUNITY PHARMACY,"1028 Ewen Ave, New Westminster, BC  V3M 5E1, Canada",Rawinder Dhasi,(778) 397-1132,(778) 397-1129,1028 Ewen Ave,New Westminster,V3M 5E1,BC,762,"1028 Ewen Ave
New Westminster, BC  V3M 5E1
CANADA",0.5,49.188553,-122.941178,true,49.1984065446815,-122.934408509512,V3M
R.E.A.C.H. CENTRE PHARMACY,"1145 Commercial Drive, Vancouver, BC  V5L 3X3, Canada",Afshin Jaberi,(604) 254-1354,(604) 258-9190,1145 Commercial Drive,Vancouver,V5L 3X3,BC,763,"1145 Commercial Drive
Vancouver, BC  V5L 3X3
CANADA",0.1,49.237983,-123.068585,false,49.2798017113471,-123.066047262467,V5L
RAGE'S PHARMACY,"166 - 1848 Main St, Penticton, BC  V2A 5H3, Canada",Anthony Rage,(250) 493-7200,(250) 493-7201,166 - 1848 Main St,Penticton,V2A 5H3,BC,764,"166 - 1848 Main St
Penticton, BC  V2A 5H3
CANADA",0.5,49.458439,-119.578094,true,49.5074809335768,-119.66409208506,V2A
RAINFOREST WELLNESS PHARMACY,"327 City Centre, Kitimat, BC  V8C 1T6, Canada",Paul Sherman,(250) 632-2914,(250) 632-2750,327 City Centre,Kitimat,V8C 1T6,BC,765,"327 City Centre
Kitimat, BC  V8C 1T6
CANADA",0.5,54.054139,-128.652711,true,53.9892572967508,-128.713873084534,V8C
REGENCY #6 MEDICINE CENTRE,"100 - 1144 Burrard St., Vancouver, BC  V6Z 2A5, Canada",Peter Cook,(604) 688-4644,(604) 648-8028,100 - 1144 Burrard St.,Vancouver,V6Z 2A5,BC,766,"100 - 1144 Burrard St.
Vancouver, BC  V6Z 2A5
CANADA",0.9,49.279337,-123.128157,true,49.2746756191941,-123.125856387968,V6Z
REGENCY MEDICINE CENTRE,"#100 - 6091 Gilbert Road, Richmond, BC  V7C 5L9, Canada",Adam Smollan,(604) 273-5544,(604) 273-5037,#100 - 6091 Gilbert Road,Richmond,V7C 5L9,BC,767,"#100 - 6091 Gilbert Road
Richmond, BC  V7C 5L9
CANADA",0.5,49.137854,-123.147848,false,49.1626286600974,-123.172127771816,V7C
REID STREET PHARMACY LTD.,"359 Reid Street, Quesnel, BC  V2J 2M5, Canada",Joshua Evanson,(250) 985-0557,(250) 985-0535,359 Reid Street,Quesnel,V2J 2M5,BC,768,"359 Reid Street
Quesnel, BC  V2J 2M5
CANADA",0.33,52.97842,-122.4931,true,53.0444718101502,-122.815625285789,V2J
RELIAKARE PHARMACY,"106 - 7075 Alberni St, Powell River, BC  V8A 2C2, Canada",Sameh Elbably,(604) 485-4400,(604) 485-4222,106 - 7075 Alberni St,Powell River,V8A 2C2,BC,769,"106 - 7075 Alberni St
Powell River, BC  V8A 2C2
CANADA",0.5,49.846476,-124.517702,true,49.8983378321946,-124.303569645468,V8A
REMEDY'SRX #201,"Units 1 & 2
1176 Franklin's Gull Rd, Parksville, BC  V9P 2M9, Canada",Duane Mottle,(250) 954-3666,(250) 954-3633,"Units 1 & 2
1176 Franklin's Gull Rd",Parksville,V9P 2M9,BC,770,"Units 1 & 2
1176 Franklin's Gull Rd
Parksville, BC  V9P 2M9
CANADA",1.0,49.31947,-124.31575,true,49.2787517880868,-124.233946599315,V9P
REMEDY'SRX #202,"134 - 10030 Resthaven Dr, Sidney, BC  V8L 3G4, Canada",Joseph Piggot,(250) 654-0210,(250) 654-0240,134 - 10030 Resthaven Dr,Sidney,V8L 3G4,BC,771,"134 - 10030 Resthaven Dr
Sidney, BC  V8L 3G4
CANADA",0.5,48.654725,-123.402852,true,48.6540898904259,-123.43794398037,V8L
REMEDY'SRX #261,"790 East Hastings St., Vancouver, BC  V6A 1R5, Canada",Ting Luu,(604) 254-4633,(604) 254-6453,790 East Hastings St.,Vancouver,V6A 1R5,BC,772,"790 East Hastings St.
Vancouver, BC  V6A 1R5
CANADA",0.9,49.280793,-123.087397,true,49.2792476329702,-123.089566417569,V6A
REMEDY'SRX #263,"102 - 5796 Glover Rd, Langley, BC  V3A 4H9, Canada",Marija Topalovic,(604) 534-8686,(604) 534-8383,102 - 5796 Glover Rd,Langley,V3A 4H9,BC,773,"102 - 5796 Glover Rd
Langley, BC  V3A 4H9
CANADA",0.5,49.110359,-122.647748,true,49.0938916038864,-122.647453561111,V3A
REMEDY'SRX #298,"#102 - 22112 - 52nd Ave, Langley, BC  V2Y 2M6, Canada",Colin Fee,(604) 534-6600,(604) 534-6076,#102 - 22112 - 52nd Ave,Langley,V2Y 2M6,BC,774,"#102 - 22112 - 52nd Ave
Langley, BC  V2Y 2M6
CANADA",0.8,49.096257,-122.611414,true,49.1277794033672,-122.621185397052,V2Y
REMEDY'SRX #366,"1A - 20363 65 Ave, Langley, BC  V2Y 3E3, Canada",Claire Cowie,(604) 427-4448,(604) 427-4451,1A - 20363 65 Ave,Langley,V2Y 3E3,BC,775,"1A - 20363 65 Ave
Langley, BC  V2Y 3E3
CANADA",0.33,49.10107,-122.65883,false,49.1277794033672,-122.621185397052,V2Y
REMEDY'SRX #367,"D/C Hospital
1 - 310 - 2268 Pandosy St, Kelowna, BC  V1Y 1T2, Canada",Cheryl Kirschner,(778) 484-3836,(778) 484-3837,"D/C Hospital
1 - 310 - 2268 Pandosy St",Kelowna,V1Y 1T2,BC,776,"D/C Hospital
1 - 310 - 2268 Pandosy St
Kelowna, BC  V1Y 1T2
CANADA",1.0,49.88307,-119.48568,true,49.8920717348395,-119.484658444334,V1Y
REMEDY'SRX #369,"102 - 2955 Acland Rd, Kelowna, BC  V1X 7X2, Canada",Nathan Howe,(778) 753-1036,(778) 753-1038,102 - 2955 Acland Rd,Kelowna,V1X 7X2,BC,777,"102 - 2955 Acland Rd
Kelowna, BC  V1X 7X2
CANADA",0.5,49.92906,-119.384485,true,50.0457888438254,-119.291583751319,V1X
REMEDY'SRX NORTH AVE. PHARMACY,"#106 - 11743 - 224th St., Maple Ridge, BC  V2X 6A4, Canada",Hussam Kibbeh,(604) 467-1116,(604) 467-4153,#106 - 11743 - 224th St.,Maple Ridge,V2X 6A4,BC,778,"#106 - 11743 - 224th St.
Maple Ridge, BC  V2X 6A4
CANADA",0.5,49.228651,-122.601248,true,49.2197678565818,-122.615084831127,V2X
REVELSTOKE FAMILY PHARMACY,"Alpine Village Shopp Ctr.
555 Victoria Rd PO Box 3000, Revelstoke, BC  V0E 2S0, Canada",David Lafreniere,(250) 837-5191,(250) 837-5658,"Alpine Village Shopp Ctr.
555 Victoria Rd PO Box 3000",Revelstoke,V0E 2S0,BC,779,"Alpine Village Shopp Ctr.
555 Victoria Rd PO Box 3000
Revelstoke, BC  V0E 2S0
CANADA",0.5,50.999892,-118.184016,true,51.4168725403139,-119.196569753959,V0E
REVOLUTION PHARMACY,"115 Hwy 33 W, Kelowna, BC  V1X 1X6, Canada",Curtis Fieseler,(250) 491-4475,(250) 491-4476,115 Hwy 33 W,Kelowna,V1X 1X6,BC,780,"115 Hwy 33 W
Kelowna, BC  V1X 1X6
CANADA",0.5,49.865752,-119.146072,false,50.0457888438254,-119.291583751319,V1X
REXALL #7102,"206 Port Augusta St., Comox, BC  V9M 3N1, Canada",Rashminkumar Patel,(250) 339-2235,(250) 339-2230,206 Port Augusta St.,Comox,V9M 3N1,BC,781,"206 Port Augusta St.
Comox, BC  V9M 3N1
CANADA",0.5,49.674874,-124.924234,true,49.6965882409624,-124.912984474409,V9M
REXALL #7103,"1511 Admirals Rd, Victoria, BC  V9A 2P8, Canada",Gary Tse,(250) 385-1800,(250) 385-1870,1511 Admirals Rd,Victoria,V9A 2P8,BC,782,"1511 Admirals Rd
Victoria, BC  V9A 2P8
CANADA",0.5,48.44883,-123.425693,true,48.4388525429796,-123.407442429181,V9A
REXALL #7104,"8925 Granville Street
Box 190, Port Hardy, BC  V0N 2P0, Canada",Sandy Chu,(250) 949-6552,(250) 949-6598,"8925 Granville Street
Box 190",Port Hardy,V0N 2P0,BC,783,"8925 Granville Street
Box 190
Port Hardy, BC  V0N 2P0
CANADA",0.5,50.722015,-127.493095,true,50.2542502949516,-124.686309260507,V0N
REXALL #7110,"Rm.108 - 1015 Austin Ave., Coquitlam, BC  V3K 3N9, Canada",Brenda Park,(604) 937-3122,(604) 937-3143,Rm.108 - 1015 Austin Ave.,Coquitlam,V3K 3N9,BC,784,"Rm.108 - 1015 Austin Ave.
Coquitlam, BC  V3K 3N9
CANADA",1.0,49.28297,-122.75262,false,49.2364668900624,-122.852141086465,V3K
REXALL #7111,"9762 Willow St.
Box 99, Chemainus, BC  V0R 1K0, Canada",Nilesh Tanna,(250) 246-3821,(250) 246-2579,"9762 Willow St.
Box 99",Chemainus,V0R 1K0,BC,785,"9762 Willow St.
Box 99
Chemainus, BC  V0R 1K0
CANADA",0.5,48.928631,-123.719044,true,49.1018732261652,-125.019665241326,V0R
REXALL #7114,"Unit 1 - 9892 Esplanade St, Chemainus, BC  V0R 1K1, Canada",Mohamed Osman,(250) 246-2151,(250) 246-3511,Unit 1 - 9892 Esplanade St,Chemainus,V0R 1K1,BC,786,"Unit 1 - 9892 Esplanade St
Chemainus, BC  V0R 1K1
CANADA",1.0,48.91633,-123.71937,true,49.1018732261652,-125.019665241326,V0R
REXALL #7116,"4204 (4212) Village Sq
RR 4, Whistler, BC  V0N 1B4, Canada",Linda Weigel,(604) 932-4251,(604) 932-6324,"4204 (4212) Village Sq
RR 4",Whistler,V0N 1B4,BC,787,"4204 (4212) Village Sq
RR 4
Whistler, BC  V0N 1B4
CANADA",0.33,50.1164,-122.95275,true,50.2542502949516,-124.686309260507,V0N
REXALL #7121,"912 Douglas St, Victoria, BC  V8W 2C1, Canada",Gloria Reid,(250) 384-1195,(250) 384-8794,912 Douglas St,Victoria,V8W 2C1,BC,788,"912 Douglas St
Victoria, BC  V8W 2C1
CANADA",0.9,48.423531,-123.366042,true,48.4276915425061,-123.364360876863,V8W
REXALL #7122,"1801 Princeton-Kamloops Hwy, Kamloops, BC  V2E 2J7, Canada",Sanket Thakkar,(250) 372-2207,(250) 372-2257,1801 Princeton-Kamloops Hwy,Kamloops,V2E 2J7,BC,789,"1801 Princeton-Kamloops Hwy
Kamloops, BC  V2E 2J7
CANADA",0.9,50.652591,-120.366741,true,50.6602204030019,-120.332088855085,V2E
REXALL #7126,"103 - 1646 McKenzie Ave, Victoria, BC  V8N 0A3, Canada",Ahmed ElGindy,(250) 477-2225,(250) 477-2285,103 - 1646 McKenzie Ave,Victoria,V8N 0A3,BC,790,"103 - 1646 McKenzie Ave
Victoria, BC  V8N 0A3
CANADA",0.5,48.471742,-123.352616,false,48.4765793361606,-123.314845757847,V8N
REXALL #7127,"101 - 230 Cook St, Victoria, BC  V8V 3X3, Canada",Hon Shing Lam,(250) 386-6171,(250) 386-7659,101 - 230 Cook St,Victoria,V8V 3X3,BC,791,"101 - 230 Cook St
Victoria, BC  V8V 3X3
CANADA",0.9,48.414093,-123.357318,true,48.4164754620851,-123.365138868897,V8V
REXALL #7128,"#101 - 1990 Fort St, Victoria, BC  V8R 6V4, Canada",Michael Matys,(250) 590-8799,(250) 590-8798,#101 - 1990 Fort St,Victoria,V8R 6V4,BC,792,"#101 - 1990 Fort St
Victoria, BC  V8R 6V4
CANADA",0.9,48.432406,-123.32283,true,48.4381324963723,-123.318423151507,V8R
REXALL #7129,"Victoria Med-Dental Bldg.
#120 - 1120 Yates St., Victoria, BC  V8V 3M9, Canada",Zohreh Khalili Samani,(250) 385-7701,(250) 385-9672,"Victoria Med-Dental Bldg.
#120 - 1120 Yates St.",Victoria,V8V 3M9,BC,793,"Victoria Med-Dental Bldg.
#120 - 1120 Yates St.
Victoria, BC  V8V 3M9
CANADA",0.5,48.440045,-123.337232,false,48.4164754620851,-123.365138868897,V8V
REXALL #7130,"Unit B - 2241 Louie Dr, Westbank, BC  V4T 3K3, Canada",Viral Sheth,(250) 768-1459,(250) 707-7077,Unit B - 2241 Louie Dr,Westbank,V4T 3K3,BC,794,"Unit B - 2241 Louie Dr
Westbank, BC  V4T 3K3
CANADA",-1.0,,,false,49.8539743713225,-119.62915661075,V4T
REXALL #7131,"9025 160 St, Surrey, BC  V4N 2X7, Canada",Navneet Mann,(604) 589-0012,(604) 589-0344,9025 160 St,Surrey,V4N 2X7,BC,795,"9025 160 St
Surrey, BC  V4N 2X7
CANADA",0.5,49.188351,-122.777198,true,49.1719889564122,-122.734851508864,V4N
REXALL #7133,"#210 - 1595 McKenzie Ave., Victoria, BC  V8N 1A4, Canada",Jeff Ho,(250) 477-1342,(250) 477-1319,#210 - 1595 McKenzie Ave.,Victoria,V8N 1A4,BC,796,"#210 - 1595 McKenzie Ave.
Victoria, BC  V8N 1A4
CANADA",0.5,48.471742,-123.352616,false,48.4765793361606,-123.314845757847,V8N
REXALL #7136,"4794D Joyce Ave, Powell River, BC  V8A 3B6, Canada",Lauralei Rockwell,(604) 485-2929,(604) 485-2924,4794D Joyce Ave,Powell River,V8A 3B6,BC,797,"4794D Joyce Ave
Powell River, BC  V8A 3B6
CANADA",0.5,49.828375,-124.520571,true,49.8983378321946,-124.303569645468,V8A
REXALL #7137,"#107 - 575 16th St, West Vancouver, BC  V7V 4Y1, Canada",David Bae,(604) 922-4174,(604) 913-3159,#107 - 575 16th St,West Vancouver,V7V 4Y1,BC,798,"#107 - 575 16th St
West Vancouver, BC  V7V 4Y1
CANADA",0.5,49.32862,-123.158906,false,49.3397464394974,-123.192793552349,V7V
REXALL #7149,"#122 - 1055 Georgia St W, Vancouver, BC  V6E 3P3, Canada",Framin Mark,(604) 684-8204,(604) 684-7329,#122 - 1055 Georgia St W,Vancouver,V6E 3P3,BC,799,"#122 - 1055 Georgia St W
Vancouver, BC  V6E 3P3
CANADA",0.4,49.289784,-123.129403,false,49.283457569434,-123.129406113292,V6E
REXALL #7157,"150 - 17475 56 Ave, Surrey, BC  V3S 2X6, Canada",Tina Chong,(604) 576-7823,(604) 576-7829,150 - 17475 56 Ave,Surrey,V3S 2X6,BC,800,"150 - 17475 56 Ave
Surrey, BC  V3S 2X6
CANADA",0.4,49.104836,-122.689032,true,49.117611016862,-122.754853365374,V3S
REXALL #7159,"6580 Fraser St, Vancouver, BC  V5X 3T3, Canada",Vishalsinh Parmar,(604) 235-2115,(604) 235-2118,6580 Fraser St,Vancouver,V5X 3T3,BC,801,"6580 Fraser St
Vancouver, BC  V5X 3T3
CANADA",0.9,49.224897,-123.090403,true,49.2150978094446,-123.097310727838,V5X
REXALL #7161,"110 - 32471 Lougheed Hwy, Mission, BC  V2V 0C8, Canada",Jinhyo Kim,(604) 820-2128,(604) 820-2146,110 - 32471 Lougheed Hwy,Mission,V2V 0C8,BC,802,"110 - 32471 Lougheed Hwy
Mission, BC  V2V 0C8
CANADA",0.33,49.13298,-122.30258,true,49.5571438888044,-122.475805648103,V2V
REXALL #7162,"700 Sixth St, New Westminster, BC  V3L 3C5, Canada",Sarb Sihota,(604) 395-1445,(604) 395-1448,700 Sixth St,New Westminster,V3L 3C5,BC,803,"700 Sixth St
New Westminster, BC  V3L 3C5
CANADA",-1.0,,,false,49.2211306947569,-122.898883878006,V3L
REXALL #7163,"Station Square
140 - 6200 McKay Ave, Burnaby, BC  V5H 4L7, Canada",Erica Tsai,(604) 438-9370,(604) 438-9375,"Station Square
140 - 6200 McKay Ave",Burnaby,V5H 4L7,BC,804,"Station Square
140 - 6200 McKay Ave
Burnaby, BC  V5H 4L7
CANADA",0.2,49.228866,-123.000777,true,49.2287120398404,-122.996471986297,V5H
